"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 18 19:15:39 GMT 2023","Tue Jul 18 19:15:40 GMT 2023","425","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:15:27 GMT 2023","Tue Jul 18 19:15:27 GMT 2023","294","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:15:30 GMT 2023","Tue Jul 18 19:15:30 GMT 2023","276","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:15:11 GMT 2023","Tue Jul 18 19:15:11 GMT 2023","181","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"passed","Tue Jul 18 19:15:12 GMT 2023","Tue Jul 18 19:15:12 GMT 2023","205","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar corpo da resposta","Validar corpo da resposta",""
"broken","Tue Jul 18 19:15:33 GMT 2023","Tue Jul 18 19:15:34 GMT 2023","409","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 19:15:36 GMT 2023","Tue Jul 18 19:15:37 GMT 2023","452","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 19:15:18 GMT 2023","Tue Jul 18 19:15:18 GMT 2023","404","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 19:15:21 GMT 2023","Tue Jul 18 19:15:21 GMT 2023","408","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:15:12 GMT 2023","Tue Jul 18 19:15:12 GMT 2023","177","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"broken","Tue Jul 18 19:15:42 GMT 2023","Tue Jul 18 19:15:43 GMT 2023","399","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:15:11 GMT 2023","Tue Jul 18 19:15:11 GMT 2023","183","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar status code","Validar status code",""
"broken","Tue Jul 18 19:15:45 GMT 2023","Tue Jul 18 19:15:46 GMT 2023","398","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:15:10 GMT 2023","Tue Jul 18 19:15:11 GMT 2023","688","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"broken","Tue Jul 18 19:15:15 GMT 2023","Tue Jul 18 19:15:15 GMT 2023","504","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"passed","Tue Jul 18 19:15:12 GMT 2023","Tue Jul 18 19:15:12 GMT 2023","174","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar status code","Validar status code",""
"broken","Tue Jul 18 19:15:24 GMT 2023","Tue Jul 18 19:15:24 GMT 2023","430","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
